ETC_20150317_000001	Кепа
ETC_20150317_000002	В[В Прогрессе]Кемпе не сильный монстр. Однако, атакуя его по неосторожности может довести тебя до слез.
ETC_20150317_000003	Большие Кепа
ETC_20150317_000004	Есть люди, которые пытаются съесть большой Кепа иногда. Не позволяйте им.
ETC_20150317_000005	Красная Кепа
ETC_20150317_000006	Вопреки распространенному мнению, это Красная Kepas, что наиболее похожа на оригинальную Кепа.
ETC_20150317_000007	Отравлен Кепа
ETC_20150317_000008	Монстр
ETC_20150317_000009	Хэмминга
ETC_20150317_000010	Несмотря на его жесткую кожу, Хэмминга является довольно слабый монстр.
ETC_20150317_000011	CПриветnency
ETC_20150317_000012	Первоначально стебли растений, CПриветnency с тех пор эволюционировали в их нынешнем виде.
ETC_20150317_000013	Мутант Chinency
ETC_20150317_000014	Jukopus
ETC_20150317_000015	Очень мало известно об Jukopus' внутренней структуры.
ETC_20150317_000016	Синий Jukopus
ETC_20150317_000017	Серый Jukopus
ETC_20150317_000018	В зависимости от его зрелости, этот монстр может развивать различные боевые приемы.
ETC_20150317_000019	PОКubИлиn
ETC_20150317_000020	Желтый PОК..orn
ETC_20150317_000021	Синий PОКuborn
ETC_20150317_000022	Есть много вещей, которые вы должны быть в курсе с этим чудовищем. Прежде всего, не попасть под его удара.
ETC_20150317_000023	Зеленый Pokuborn
ETC_20150317_000024	Даже после мутации, их мясо еще съедобно.
ETC_20150317_000025	Синий Pokubu
ETC_20150317_000026	Баньши
ETC_20150317_000027	Души тех, кто отважился на преступный мир теперь отображаются в виде демонов.
ETC_20150317_000028	Красная Банши
ETC_20150317_000029	Злой Дух
ETC_20150317_000030	Душа, которая не получать наставления богини. Он родился через демонический контроль.
ETC_20150317_000031	Большие Баньши
ETC_20150317_000032	Улей
ETC_20150317_000033	Синий Улей
ETC_20150317_000034	Серый Улей
ETC_20150317_000035	Красный Улей
ETC_20150317_000036	Bushspider
ETC_20150317_000037	Ползать среди теней леса, этот монстр сильно эволюционировала в размерах с течением времени.
ETC_20150317_000038	Черный Bushspider
ETC_20150317_000039	Красный Bushspider
ETC_20150317_000040	Белый Bushspider
ETC_20150317_000041	Желтый Bushspider
ETC_20150317_000042	Отвратительно дionia
ETC_20150317_000043	Dionia, Кроме
ETC_20150317_000044	Синий FragАрас
ETC_20150317_000045	Этот монстр вырос крупнее, но не намного изменилась. В прошлом, это до сих пор используется, чтобы быть смертельной и порочный завода.
ETC_20150317_000046	Черный Fragaras
ETC_20150317_000047	Красный Fragaras
ETC_20150317_000048	Боец Vubbe
ETC_20150317_000049	Синий Vubbe Боец
ETC_20150317_000050	Vubbe Красный Боец
ETC_20150317_000051	Неизвестно, есть ли Vubbe бойцов проходят обучение, или просто иметь природные способности для боя.
ETC_20150317_000052	Голем
ETC_20150317_000053	Серый Голем
ETC_20150317_000054	Meduja
ETC_20150317_000055	Некоторые люди говорят, мeduja может использоваться для связи с душами умерших.
ETC_20150317_000056	Синий Meduja
ETC_20150317_000057	Зеленый Meduja
ETC_20150317_000058	Красный Meduja
ETC_20150317_000059	Исследователи утверждают, что растения имеют душу. В Meduja мутантные формы такой души.
ETC_20150317_000060	Meduja Larva
ETC_20150317_000061	EllagaНетs
ETC_20150317_000062	Кусаются
ETC_20150317_000063	Некоторые говорят, что они предпочли бы выбрать, чтобы взять стрелу, чем опыт укуса при укусе.
ETC_20150317_000064	Puragi
ETC_20150317_000065	Это забытый секрет, что демоны тайно развернут Puragis атаковать Ruklys' солдат во время Гражданской войны.
ETC_20150317_000066	Синий Puragi
ETC_20150317_000067	Синий Puragis любят убивать и грабить.
ETC_20150317_000068	Зеленый Puragi
ETC_20150317_000069	Никто никогда не видел в лицо скрыто за его маской.
ETC_20150317_000070	Красный Puragi
ETC_20150317_000071	Большие Puragi
ETC_20150317_000072	Zigri
ETC_20150317_000073	Коричневый Zigri
ETC_20150317_000074	Эти демонические миньоны наслаждаться убой.
ETC_20150317_000075	Черный Zigri
ETC_20150317_000076	Демон прислужник во всем мире.
ETC_20150317_000077	Красный Zigri
ETC_20150317_000078	Рыбак
ETC_20150317_000079	Причина, почему рыбаки классифицируются как монстры из-за их удочки контроля существ.
ETC_20150317_000080	Голубой Рыбак
ETC_20150317_000081	Зеленый Рыбак
ETC_20150317_000082	Красный Рыбак
ETC_20150317_000083	Этот рыбак действия зачастую необъяснимое.
ETC_20150317_000084	Грибаru
ETC_20150317_000085	Его головка штока может быть использован для различных целей, таких как выпускать аттрактанты и обнаруживать скрытые цели.
ETC_20150317_000086	Большой Грибаru
ETC_20150317_000087	Торн Лесного Гриба
ETC_20150317_000088	Matsum
ETC_20150317_000089	Ли Matsum возникла из растительного, животного или минерального неважна. Что вы должны знать, что его опасно.
ETC_20150317_000090	Matsuma
ETC_20150317_000091	Mirtis Эго
ETC_20150317_000092	Molich
ETC_20150317_000093	Мини Гриба
ETC_20150317_000094	Зеленый Цвет Гриба
ETC_20150317_000095	Красного Гриба
ETC_20150317_000096	Хотя их яркий цвет делает их довольно заметным, до сих пор трудно уклониться от их атак.
ETC_20150317_000097	Желтый Цвет Гриба
ETC_20150317_000098	Больших Красных Гриба
ETC_20150317_000099	Big Griba
ETC_20150317_000100	Этот монстр был однажды описан как тяжело блокировать и жесткий, чтобы поесть.
ETC_20150317_000101	Большие Голубые Гриба
ETC_20150317_000102	Большой, сильный, грубый монстр и неохотно добычей охотников.
ETC_20150317_000103	Большого Зеленого Гриба
ETC_20150317_000104	Больших Красных Гриба
ETC_20150317_000105	Старого Кепа
ETC_20150317_000106	Кепа возраст быстро в ущерб их прочности. Будьте осторожны, его едкий запах, который становился сильнее с возрастом.
