ITEM_20150317_000001	Пустой шлем 
ITEM_20150317_000002	Murm[Оснастить эффект][в разработке]lo Жемчуг 
ITEM_20150317_000003	Пустые повязки 
ITEM_20150317_000004	Красные Повязки 
ITEM_20150317_000005	Повязки 
ITEM_20150317_000006	Завязывают Повязкой 
ITEM_20150317_000007	Длинные Повязки 
ITEM_20150317_000008	Перо Повязка 
ITEM_20150317_000009	Красный Браслет 
ITEM_20150317_000010	Пустые оружия 
ITEM_20150317_000011	Сырой Гладиус
ITEM_20150317_000012	One-handed Sword [Slash] 
ITEM_20150317_000013	Стандартное оружие для солдат из Королевской армии. Также обычно осуществляется гражданскими лицами.
ITEM_20150317_000014	В gladius 
ITEM_20150317_000015	Это оружие является улучшенной версией своего военного коллегу.
ITEM_20150317_000016	Низкий Фальшион
ITEM_20150317_000017	Этот меч является исключительным для сеча. 
ITEM_20150317_000018	Низкий Kaskara
ITEM_20150317_000019	Благодаря своей легкости в производстве, этот меч часто выбирают авантюристы, как их первая замена за свой тренировочный меч. 
ITEM_20150317_000020	Cinquedea 
ITEM_20150317_000021	Рекомендуется для тех, кто желает тяжелее и сильнее меча. 
ITEM_20150317_000022	Сабля 
ITEM_20150317_000023	Основное оружие кавалерии, оптимизированный для сеча. Охранник на рукояти защищает руки пользователя. 
ITEM_20150317_000024	Шамшир 
ITEM_20150317_000025	Лезвие большого полумесяца, края разрезов с огромной силой.
ITEM_20150317_000026	Ятаган 
ITEM_20150317_000027	Его тяжелый вес компенсируется очень сильным Слэш. 
ITEM_20150317_000028	Kris 
ITEM_20150317_000029	Его скрученные края Увеличивает урон, который он наносит. Меч, который как практические, так и декоративные. 
ITEM_20150317_000030	Snickersnee 
ITEM_20150317_000031	Его чрезвычайно острые лезвия делает его фаворитом среди даже самых опытных фехтовальщиков. 
ITEM_20150317_000032	Сырой Шамшир
ITEM_20150317_000033	Сырой Ятаган
ITEM_20150317_000034	Солдатский Гладиус 
ITEM_20150317_000035	Основное вооружение выплаты и льготы, предоставляемые солдат. Его общее качество лучше, чем те, которые продаются на рынке.
ITEM_20150317_000036	Мэра Фальшион 
ITEM_20150317_000037	Глядя на это оружие вызывает подозрения на ее предыдущего владельца прошлом. 
ITEM_20150317_000038	Сырой Kaskara
ITEM_20150317_000039	Moplah 
ITEM_20150317_000040	Этот меч сочетает в себе практичность и эстетику. 
ITEM_20150317_000041	Тяжелый Гладий
ITEM_20150317_000042	Falchion 
ITEM_20150317_000043	Тяжелый Фальшион
ITEM_20150317_000044	Kaskara 
ITEM_20150317_000045	Тяжелые Chinqueda
ITEM_20150317_000046	Тяжелая Сабля
ITEM_20150317_000047	Тяжелые Шамшир
ITEM_20150317_000048	Темно-Sabre 
ITEM_20150317_000049	Темно-Snickersnee 
ITEM_20150317_000050	Темно-Falchion 
ITEM_20150317_000051	Темно-Kaskara 
ITEM_20150317_000052	Темно-Cinquedea 
ITEM_20150317_000053	Темно-Shamshirgran 
ITEM_20150317_000054	Кодзука 
ITEM_20150317_000055	Подсказка не доступна
ITEM_20150317_000056	Badelaire 
ITEM_20150317_000057	Саиф 
ITEM_20150317_000058	Colichemarde 
ITEM_20150317_000059	Firangi 
ITEM_20150317_000060	Торн Резца 
ITEM_20150317_000061	Демион Меч 
ITEM_20150317_000062	Мастер Меча 
ITEM_20150317_000063	Панто Меч 
ITEM_20150317_000064	Грубый меч, используемый Панто. Вы может создать лучшую версию себя. 
ITEM_20150317_000065	Flonas Сабля 
ITEM_20150317_000066	Некоторые говорят, что это оружие развязывает обиду держать, что растения против зверей. 
ITEM_20150317_000067	Golden Falchion 
ITEM_20150317_000068	Возможно, из-за золота корреляции с фортуны, Золотой Фальшион наделяет своего обладателя с удачи в бою. Конечно, это крайне вредно для его врагов. 
ITEM_20150317_000069	Стальной Фальшион 
ITEM_20150317_000070	Стальной Фальшион-отличный выбор для тех, кто проводит точности в их владения мечом. 
ITEM_20150317_000071	Серебро Фальшион 
ITEM_20150317_000072	Его легкий вес и прочность позволяет мечник, чтобы раскрыть его полный потенциал во время приступа. 
ITEM_20150317_000073	Mandrapick 
ITEM_20150317_000074	Этот меч, как говорят, чтобы очистить его хозяина на уме с его Мандрагора сущность. 
ITEM_20150317_000075	Мастер Клинка 
ITEM_20150317_000076	Вы никогда не должны высмеивать мастер орудует мечом, особенно если этот меч мастера клинка. 
ITEM_20150317_000077	Cheminis Меч 
ITEM_20150317_000078	Этот меч сделан из рецепт разработанная алхимик от Winterspoon семьи, который утверждал, что он может сделать лучше, чем меч кузнеца. 
ITEM_20150317_000079	Austas 
ITEM_20150317_000080	Этот меч достоин его высокой цене. Впрочем, купцы предпочли бы, что вы вернетесь, чтобы купить другое оружие, чем продолжать использовать его в течение длительного времени. 
ITEM_20150317_000081	Miskas Сабля 
ITEM_20150317_000082	Это оружие сделает ваши владения мечом быстрее. 
ITEM_20150317_000083	Imperni Меч 
ITEM_20150317_000084	Ветераны часто рассказывают ощущения, которые они испытали при продвижении от новичка и первого, держа этот меч. 
ITEM_20150317_000085	Gritas 
ITEM_20150317_000086	Меч, используемый доблестных искателей приключений. По иронии судьбы, он часто встречается на сильных монстров. Человек, который получает этот меч неосознанно отмщении за его предыдущего владельца. 
ITEM_20150317_000087	Спата 
ITEM_20150317_000088	Улучшенная версия Гладиус сделан путем удлинения длина лезвия.
ITEM_20150317_000089	Арас' Фальшион 
ITEM_20150317_000090	Это оружие дает вам возможность испытать возможности Фальшион. 
ITEM_20150317_000091	Смит Меч 
ITEM_20150317_000092	- 2% шанс нанести дополнительные 600% урона
ITEM_20150317_000093	Этот меч изредка просветы с мастерством его создателя.
ITEM_20150317_000094	Klavis Меч 
ITEM_20150317_000095	Несмотря на свои качества, здесь продаются относительно хорошо. 
ITEM_20150317_000096	Дио Меч 
ITEM_20150317_000097	Молотить Мечом 
ITEM_20150317_000098	Sestas Меч 
ITEM_20150317_000099	Dratt Меч 
ITEM_20150317_000100	Астон Меч 
ITEM_20150317_000101	Деви Меч
ITEM_20150317_000102	Прима Меч
ITEM_20150317_000103	Троица Меч 
ITEM_20150317_000104	Если вы неудовлетворенный с одного типа Фальшион, это альтернатива. Тем не менее, вам придется нести дополнительные расходы для ее крафта. 
ITEM_20150317_000105	Дюрандаль 
ITEM_20150317_000106	Многие искатели приключений название их лучших меч после этого оружие. Это было имя меча орудуют древний воин выбирает богиня. 
