QUEST_JOBSTEP_20150317_000001	Бокор. Вы выбрали трудный путь. {nl}см. инструкции в ваш журнал приключения и сделать свою собственную куклу.
QUEST_JOBSTEP_20150317_000002	Вы должны сделать куклу самостоятельно. {nl}проверьте ваше приключение журнал, чтобы увидеть, как можно сделать куклу. 
QUEST_JOBSTEP_20150317_000003	Поздравляем, новый Бокоро рождается. {nl}когда я впервые выбрал путь в Бокоро, я начал с создания куклы из моего собственного. 
QUEST_JOBSTEP_20150317_000004	Pelta От Мастера
QUEST_JOBSTEP_20150317_000005	Если вы хотите получить мои учения, то вы должны доказать свою ценность в первую очередь.{nl}вот такая задача: победить некоторые Vubbes на 1-м этаже в "алмазную шахту".
QUEST_JOBSTEP_20150317_000006	How can you bear the title of Peltasta if you can't even handle that much? 
QUEST_JOBSTEP_20150317_000007	Хорошо. {nl}я надеюсь, что ваш новый рост ведет к тебе спасать мир. 
QUEST_JOBSTEP_20150317_000008	Горец Мастер
QUEST_JOBSTEP_20150317_000009	Я так благодарен, что вы хотите быть преемником моего владения мечом, но я подозреваю, что Вы не следуйте моему учению, хорошо.{nl}я проверю вам на вас победить Vubbes, занимающие 1-м этаже в "алмазную шахту".
QUEST_JOBSTEP_20150317_000010	Спешите. {nl} хотя это ваше посвящение вызов, Vubbes представляют угрозу для шахтеров поселка.
QUEST_JOBSTEP_20150317_000011	Хорошая работа, вы прошли инициацию в став Горец. {nl} следите за напряженную работу и преданность делу.
QUEST_JOBSTEP_20150317_000012	Мастер-Пиротехник
QUEST_JOBSTEP_20150317_000013	Я вижу, что вы хотите учиться магии от меня, но я не могу научить кого угодно. {nl}я буду видеть, насколько хорошо вы можете помочь моим исследованиям и затем решить. 
QUEST_JOBSTEP_20150317_000014	Хорошая работа. Благодаря вам я могу начать следующий этап своего исследования. {nl}я научу вас магия Пиромантов как и обещали. 
QUEST_JOBSTEP_20150317_000015	Хорошо, что ты здесь. Ты мне нужен, чтобы победить злых духов, которые я призову. {nl}я буду записывать уникальные волны, которые передаются в процесс. 
QUEST_JOBSTEP_20150317_000016	Я провожу исследования на 4-е состояние вещества. {nl}невозможно без сотрудничества Бокоро мастер, который общается с духами. 
QUEST_JOBSTEP_20150317_000017	Да, великолепный. {nl}скажи Пиромантов Мастер, что у нас есть все материалы нам нужны. 
QUEST_JOBSTEP_20150317_000018	Хорошо. {nl}, что исследование ведется с Бокоро Мастер. Так иди и оплати ей визит, и она расскажет вам, что делать. 
QUEST_JOBSTEP_20150317_000019	Cryomancer Мастер
QUEST_JOBSTEP_20150317_000020	You want to learn Cryomancer magic from me? {nl}Sure, I'll teach you, but only if you take care of something first! 
QUEST_JOBSTEP_20150317_000021	Пиромантов мастера не должно быть вокруг. {nl}так что это будет простая задача.
QUEST_JOBSTEP_20150317_000022	Не чувствую себя виноватой. Вы сделали хорошую работу. {nl}я прикрою тебя от этого момента, так что вам не нужно беспокоиться. 
QUEST_JOBSTEP_20150317_000023	Он пробирается в Пиромантов хозяина комнаты и открывая окно. {nl}а что там внутри...что ж, тебе придется убить его.
QUEST_JOBSTEP_20150317_000024	Этого будет достаточно. {nl}моя магия не легко, поэтому вам нужно будет потрудиться, чтобы не отставать. 
QUEST_JOBSTEP_20150317_000025	Ваш будет учиться у меня хорошее, но сначала я хочу попросить тебя об одной. {nl}мы можем продолжить наш разговор, если вы за нее. {nl}
QUEST_JOBSTEP_20150317_000026	Лидия Schaffen-х передачах как божественное материалы нам лучники. {nl}я бы отдал тебе все свое состояние просто так.
QUEST_JOBSTEP_20150317_000027	Я никогда не думала что смогу увидеть это сам. {nl}Спасибо. Я научу вас основательно от этого момента, так что вам лучше быть готовым. 
QUEST_JOBSTEP_20150317_000028	Я слышал потерянный объектив телескопа от астральной башни в "алмазную шахту" 1-ый этаж. {nl}получить меня, что объектив перед другими мастерами узнал, и я научу тебя мои методы. 
QUEST_JOBSTEP_20150317_000029	Так вы хотите узнать путь стрелка от меня...тогда у меня есть задание для вас. {nl}я буду основывать свое решение на том, насколько хорошо вы выполнить миссию. 
QUEST_JOBSTEP_20150317_000030	Evoniphon...я ему никогда не прощу.
QUEST_JOBSTEP_20150317_000031	Охотник Мастер
QUEST_JOBSTEP_20150317_000032	Вы собрали все книги. Хорошая работа. {nl}я научу вас, как Охотник, как и обещал. 
QUEST_JOBSTEP_20150317_000033	У тебя хорошие результаты. Я научу вас отныне. {nl}я надеюсь, ты оправдала моих ожиданий. 
QUEST_JOBSTEP_20150317_000034	Я слышал, как летучие мыши в Рудник по добыче кристалла 1-ый этаж, есть особый тип яда. {nl}я уверен, что это тот же яд, используемый ассасин Evoniphon. Принеси мне этот яд.
QUEST_JOBSTEP_20150317_000035	Варвара Мастер
QUEST_JOBSTEP_20150317_000036	Вы можете понять оппонента способности, стоящих перед ними меч на меч. {nl}доказать мне, что ты настоящий воин, и я буду вести вас в том, как стать настоящим варваром. 
QUEST_JOBSTEP_20150317_000037	Вы действительно квалифицировать в качестве воина. {nl}я заставлю тебя стать настоящим варваром. 
QUEST_JOBSTEP_20150317_000038	Я понимаю, что вы хотите быть сильнее копьем. {nl}завершить миссию я возлагаю на тебя, и я научу вас, мои spearmanship.
QUEST_JOBSTEP_20150317_000039	Пожалуйста, принеси мне Гролл кожи от Spineheart Дейл, Chafperor отравленные дротики из падших беспокоиться лес, и Jukopus черный порошок из шахтерского поселка.
QUEST_JOBSTEP_20150317_000040	Я понимаю твое желание стать сильнее. {nl}я также вижу, что вы можете иметь то, что это берет, чтобы быть хорошим с копьями.
QUEST_JOBSTEP_20150317_000041	Psychokino Мастер
QUEST_JOBSTEP_20150317_000042	If you want to understand Psychokino, then how about you work as my assistant?{nl}I will guarantee you that it is an attractive job.
QUEST_JOBSTEP_20150317_000043	Пожалуйста, первое поражение Matsums от Spineheart Дейл и собирать их цветок алкоголь.{nl}они легко ломаются, так что трудно получить достойные экземпляры.
QUEST_JOBSTEP_20150317_000044	Хорошо. Цветок алкоголь из Matsums это хорошо.{nl}Вы увидите что-то интересное в ближайшее время.
QUEST_JOBSTEP_20150317_000045	Теперь идем Gintara шоссе в Spineheart Дейл.{nl}Окропить этой жидкостью медицины на экспериментальных Matsum кукла, которую я установил и сообщить мне результат.
QUEST_JOBSTEP_20150317_000046	The Matsums attacked you? {nl}Since the Matsums Принимаемed the Matsum dolls as their friends, I consider it successful. 
QUEST_JOBSTEP_20150317_000047	Хорошая работа. {nl}вы проделали хорошую работу моим помощником, так что я буду учить вас, что будучи Psychokino действительно означает. 
QUEST_JOBSTEP_20150317_000048	Мои исследования о методах смещения психокинез к существу вопроса. {nl}другими словами...это способ промывания мозгов с помощью медицины. 
QUEST_JOBSTEP_20150317_000049	Линкер Мастер
