QUEST_LV_0100_20150317_000001	Страж
QUEST_LV_0100_20150317_000002	Если вы решите пойти в Клайпеду, я рекомендую брать тени лесной дороге.{nl}глухом лесу опасны, так что постарайтесь держаться подальше оттуда, если можно.
QUEST_LV_0100_20150317_000003	Человек в бегах
QUEST_LV_0100_20150317_000004	Fi... Finally! Has help arrived?{nl}Huh?! It's just a kid? Hey... Are there still Vubbes outside?
QUEST_LV_0100_20150317_000005	Тьфу. Уходи! Не разговаривай со мной! Мы будем попасться Vubbes!{nl}это мое место так оставить!
QUEST_LV_0100_20150317_000006	What? Don't lie to me! I can smell the Vubbes from here.{nl}You can't fool an adult! Go away! Do Нетt come near this barrel!
QUEST_LV_0100_20150317_000007	Fi... Finally! Has help arrived?{nl}Huh?! It's just a kid? What are you looking at? Close the lid and move along!{nl}
QUEST_LV_0100_20150317_000008	What's that paper you're holding? It looks familiar...{nl}Let me see that! What are you doing? Hey, there's an adult speaking to you!
QUEST_LV_0100_20150317_000009	Эта бумага, она моя! Я никогда не сдамся снова!!{nl}это... не то, что вам нужно - я просто разорву его на части. Там.
QUEST_LV_0100_20150317_000010	Шиш, вот и хромает...
QUEST_LV_0100_20150317_000011	После всех богинь исчезли, эти сны были одной из первых вещей, которые подошли.{nl}может быть, один из этих людей будет тот, кто приносит богинь обратно.
QUEST_LV_0100_20150317_000012	Soldier Blak
QUEST_LV_0100_20150317_000013	Be warned!{nl}Monsters are attacking, so all civilians must evacuate!{nl}Why are those civilians in the military zone anyway?{nl}
QUEST_LV_0100_20150317_000014	Ах, так вы Богослов! Прости, я не узнал вас.{nl}монстры атакуют базу снабжения на данный момент.{nl}мне нужно получить некоторые важные рационы из базы. Пожалуйста, помогите мне!
QUEST_LV_0100_20150317_000015	Она была тихой и не слишком давно, но сейчас они идут в группы.{nl}что происходит конкретно??о??о??о??
QUEST_LV_0100_20150317_000016	Даже так, я чувствовала себя неуютно...{nl}кто же знал, что они бы атаковать в такой абсурдной манере??е??е??е??
QUEST_LV_0100_20150317_000017	Рацион в первый склад материально-технического снабжения, который Вы можете получить через дорогу {nl}на верхней стороне. Пожалуйста, верни все, что объедки вам найти... 
QUEST_LV_0100_20150317_000018	Я записал, кто Sparnas является. Может быть, это будет полезно в будущем.{nl}хотя я может не появиться, так что прямо сейчас, я был биологом четыре года назад.
QUEST_LV_0100_20150317_000019	Пожалуйста, передайте этот доклад Luders.{nl}он, наверное, в центр снабжения лагеря.
QUEST_LV_0100_20150317_000020	Офицер Luders
QUEST_LV_0100_20150317_000021	Ah, you must be the so called Revelator. Nice to meet you.{nl}Is this Blak's report?{nl}
