SKILL_20150317_000001	Атака
SKILL_20150317_000002	[Elite Kepa] 1 time, Physical, Яд Property, Забастовка
SKILL_20150317_000003	[Rafflesia] Spread Poison
SKILL_20150317_000004	[Rafflesia] Poison Bomb
SKILL_20150317_000005	[Raffly] Physical, Strike, Poison Property, Attack 1 time
SKILL_20150317_000006	[Raffly] Physical, Strike, Poison Property, Атака В Прыжке 1 time
SKILL_20150317_000007	[Puragi] Physical, Strike, Poison Property, Обычная атака 1 time
SKILL_20150317_000008	[Puragi] Physical, Strike, Poison Property, Attack 1 time
SKILL_20150317_000009	[Puragi] Physical, Strike, Poison Property, Stomp 1 time
SKILL_20150317_000010	[Zigri] Normal Attack, Conical AoE
SKILL_20150317_000011	[Zigri] Spinning Strike
SKILL_20150317_000012	[Zigri] Прыгать and Stomping Шок
SKILL_20150317_000013	[Fisherman] Physical, Strike, Ice Property, Strike with Fishing Rod
SKILL_20150317_000014	[Fisherman] Magic, Buff, Magic, Buff Skill
SKILL_20150317_000015	[Green Pokuborn] Physical, Пирс, Lightning Property, Hor[Дровосек] атака 1 time
SKILL_20150317_000016	[Bushspider] Физические, Удар, Земля Собственность, Атака 1 time
SKILL_20150317_000017	[Fragaras] Quick bite
SKILL_20150317_000018	[Fragaras] Large Chomp
SKILL_20150317_000019	[Fragaras] Normal Attack, Conical AoE
SKILL_20150317_000020	Основные Обычную Атаку
SKILL_20150317_000021	[Meduja] Magic, Magic, Lightning Property Attack 1 time
SKILL_20150317_000022	[Gribaru] Physical, Slash, Lightning Property Attack 1 time
SKILL_20150317_000023	[Gribaru] Physical, Slash, Lightning Property Knock-back Attack Attack 1 time
SKILL_20150317_000024	[Bite] Physical, Pierce, Poison Property Attack 1 time,
SKILL_20150317_000025	[Banshee] Magic, Magic, Ice Property, Breath Attack 1 time
SKILL_20150317_000026	[Banshee] Magic, Magic, Ice Property, Лед Щука
SKILL_20150317_000027	[Mini Griba] Physical, Strike, Lightning Property, Two-handed Strike 1 time
SKILL_20150317_000028	[Big Griba] Physical, Strike, Lightning Property, Разбить 1 time
SKILL_20150317_000029	[Big Griba] Physical, Strike, Lightning Property,Spread poison 1 time
SKILL_20150317_000030	[Big Griba] Physical, Strike, Lightning Property,GКруглый Smash 1 time
SKILL_20150317_000031	[Haming] Physical, Strike, Lightning Property, Head Strike
SKILL_20150317_000032	[Haming] Physical, Strike, Lightning Property, Counter Skill
SKILL_20150317_000033	[Haming] Physical, Strike, Lightning Property, Jump and rotating attack
SKILL_20150317_000034	[Truffle] Physical, Strike, Lightning Property, Body Slam
SKILL_20150317_000035	[Truffle] Physical, Strike, Lightning Property, Smash
SKILL_20150317_000036	[Truffle] Physical, Strike, Lightning Property, Body Slam
SKILL_20150317_000037	[Slime_Dark] Physical, Strike, Dark Property, Headbutt
SKILL_20150317_000038	[Slime_Dark] Physical, Strike, Dark Property, Attack 1 time
SKILL_20150317_000039	[Kepa] Physical, Strike, Poison Property, Conical AoE
SKILL_20150317_000040	[Addicted Kepa] Normal Attack, Conical AoE
SKILL_20150317_000041	[Old Kepa] Physical, Strike, Earth Property, Fume Smoke
SKILL_20150317_000042	[Thornball] Physical, Pierce, Poison Property, Conical AoE
SKILL_20150317_000043	[Matsum] Physical, Strike, Fire Property, Conical AoE
SKILL_20150317_000044	[Sakmoli] Magic, Strike, Ice Property. Normal Attack 1 time
